IF_adj,diferenca_limite,diferenca_prazo,diferenca_taxa
BTG,-37415.090000000004,,
BTG,63231.2,-30.0,
Banco Inter,-63374.44,,
Banco Inter,-108418.03,,
Banco Inter,-8034.2799999999988,-42.0,
Banco Inter,110577.85999999999,,
Banco Inter,-78050.6,-42.0,
Banco Inter,-1386.010000000002,-18.0,0.015279132771102447
Banco Inter,-59917.979999999996,,
Banco Inter,-89468.790000000008,-48.0,
Banco Inter,7081.4699999999993,9.0,
Banco Inter,56020.11,17.0,
Banco Inter,-824.79999999999927,-30.0,
Banco Inter,1147.6600000000035,-42.0,
Banco Inter,-122557.69999999995,-30.0,
Banco Inter,71618.669999999969,,
Banco Inter,3060.1000000000004,,
Banco Inter,-21664.070000000003,-42.0,
Banco Inter,53394.95,-6.0,
Banco Inter,-24189.42,-12.0,0.03136458516976031
Banco Inter,-144392.86,-48.0,
Banco Inter,27128.020000000019,,
Banco Inter,-86219.420000000013,,
Banco Inter,-35276.710000000006,-42.0,
Banco Inter,-19600.32,,
Banco Inter,18269.429999999986,,
Banco Inter,433078.33999999997,,
Banco Inter,293.34999999999854,-30.0,
Banco Inter,122546.69,-18.0,
Banco Inter,-24060.81,-24.0,0.034007242003226849
Banco Inter,51490.01999999999,-30.0,
Banco Inter,70514.799999999988,11.0,
Banco Inter,64804.859999999993,-42.0,
Banco Inter,26630.740000000005,,
Banco Inter,-36569.679999999993,,
Banco Inter,24494.910000000047,,
Banco Inter,-81246.63,-42.0,
Banco Inter,131249.74999999997,,
Banco Inter,3193.8700000000026,-18.0,
Banco Inter,-7664.3899999999994,,
Banco Inter,-122617.95999999998,,
Banco Inter,-50334.73,,
Banco Inter,-26537.219999999979,,
Banco Inter,-42197.24,,
Banco Inter,45409.23,-18.0,0.00288555689569555
Banco Inter,20492.539999999997,,
Banco Inter,56974.69,,
Banco Inter,57564.19,-42.0,
Banco Inter,-44857.12,,
Banco Inter,26824.520000000004,-42.0,
Banco Inter,14570.740000000005,,
Banco Inter,-49532.99,-42.0,
Banco Inter,-17299.73000000001,,
